                 7.70008E-02 0.0033
                 2.73415E-02 0.0057
                 5.43223E-01 0.0010
                 2.56773E-01 0.0017
                 1.80809E-01 0.0021
                 7.78632E-02 0.0033
                 2.77776E-02 0.0057
                 5.42245E-01 0.0010
                 2.54938E-01 0.0017
                 1.81210E-01 0.0021
                 7.77223E-02 0.0033
                 2.83750E-02 0.0056
                 5.42539E-01 0.0010
                 2.53743E-01 0.0017
                 1.81385E-01 0.0021
                 7.88653E-02 0.0033
                 2.85457E-02 0.0056
                 5.41896E-01 0.0010
                 2.51750E-01 0.0017
                 1.81425E-01 0.0021
                 7.95373E-02 0.0033
                 2.91836E-02 0.0056
                 5.41888E-01 0.0010
                 2.50824E-01 0.0017
                 1.81409E-01 0.0021
                 8.00403E-02 0.0033
                 2.96144E-02 0.0055
                 5.41367E-01 0.0010
                 2.49439E-01 0.0017
                 1.81053E-01 0.0021
                 8.07267E-02 0.0033
                 3.01483E-02 0.0055
                 5.41409E-01 0.0010
                 2.48354E-01 0.0017
                 1.81493E-01 0.0021
                 8.10507E-02 0.0033
                 3.05123E-02 0.0054
                 5.41204E-01 0.0010
                 2.47136E-01 0.0017
                 1.81380E-01 0.0021
                 8.18259E-02 0.0033
                 3.08612E-02 0.0054
                 5.82463E-01 0.0011
                 2.57075E-01 0.0018
                 1.95698E-01 0.0021
                 9.27536E-02 0.0032
                 3.69366E-02 0.0051
                 5.44892E-01 0.0011
                 2.45643E-01 0.0018
                 1.82524E-01 0.0021
                 8.40384E-02 0.0032
                 3.26865E-02 0.0053
                 5.40950E-01 0.0011
                 2.44049E-01 0.0018
                 1.80948E-01 0.0021
                 8.35659E-02 0.0032
                 3.23862E-02 0.0053
                 5.40217E-01 0.0011
                 2.42802E-01 0.0018
                 1.80714E-01 0.0021
                 8.38257E-02 0.0032
                 3.28753E-02 0.0052
                 5.39735E-01 0.0010
                 2.41135E-01 0.0018
                 1.80994E-01 0.0021
                 8.44155E-02 0.0032
                 3.31904E-02 0.0052
                 5.39591E-01 0.0010
                 2.40254E-01 0.0018
                 1.80945E-01 0.0021
                 8.44891E-02 0.0032
                 3.39036E-02 0.0051
                 5.39493E-01 0.0011
                 2.39321E-01 0.0018
                 1.80931E-01 0.0021
                 8.50982E-02 0.0032
                 3.41424E-02 0.0051
                 5.39209E-01 0.0011
                 2.38677E-01 0.0018
                 1.80297E-01 0.0021
                 8.55695E-02 0.0032
                 3.46652E-02 0.0051
                 5.38753E-01 0.0011
                 2.37382E-01 0.0018
                 1.80329E-01 0.0021
                 8.58885E-02 0.0032
                 3.51536E-02 0.0051
                 5.38405E-01 0.0011
                 2.36191E-01 0.0018
                 1.80283E-01 0.0021
                 8.62779E-02 0.0032
                 3.56540E-02 0.0050
                 5.38154E-01 0.0011
                 2.35075E-01 0.0018
                 1.80176E-01 0.0021
                 8.67598E-02 0.0031
                 3.61441E-02 0.0050
                 5.78616E-01 0.0011
                 2.44184E-01 0.0019
                 1.94088E-01 0.0021
                 9.79434E-02 0.0031
                 4.24004E-02 0.0048
                 5.38320E-01 0.0011
                 2.33383E-01 0.0018
                 1.80548E-01 0.0021
                 8.78017E-02 0.0031
                 3.65875E-02 0.0050
                 5.36970E-01 0.0011
                 2.31658E-01 0.0018
                 1.80260E-01 0.0021
                 8.80753E-02 0.0031
                 3.69764E-02 0.0049
                 5.37392E-01 0.0011
                 2.31145E-01 0.0018
                 1.80326E-01 0.0021
                 8.85705E-02 0.0031
                 3.73500E-02 0.0049
                 5.36895E-01 0.0011
                 2.30236E-01 0.0018
                 1.79904E-01 0.0021
                 8.89214E-02 0.0031
                 3.78339E-02 0.0049
                 5.36663E-01 0.0011
                 2.29426E-01 0.0018
                 1.79761E-01 0.0021
